==14432== NVPROF is profiling process 14432, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14432== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14432== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14432== Profiling result:
==14432== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          7                    issue_slot_utilization                                                Issue Slot Utilization      81.64%      81.84%      81.74%
          7                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    6.892832    6.923009    6.911616
          7                           tex_utilization                                             Unified Cache Utilization    High (7)    High (7)    High (7)
          7                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          7                        shared_utilization                                             Shared Memory Utilization     Mid (4)     Mid (4)     Mid (4)
          7                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (2)     Low (2)     Low (2)
          7                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          7                    special_fu_utilization                                     Special Function Unit Utilization     Mid (4)     Mid (4)     Mid (4)
          7                        tex_fu_utilization                                     Texture Function Unit Utilization    High (7)    High (7)    High (7)
          7           single_precision_fu_utilization                            Single-Precision Function Unit Utilization    High (7)    High (7)    High (7)
          7           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          7                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          7                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)      11.46%      11.52%      11.49%
          7                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          7                    dram_read_transactions                                       Device Memory Read Transactions          33         641         154
          7                   dram_write_transactions                                      Device Memory Write Transactions      222687      225286      223760
          7                      dram_read_throughput                                         Device Memory Read Throughput  473.13KB/s  8.9953MB/s  2.1639MB/s
          7                     dram_write_throughput                                        Device Memory Write Throughput  3.0507GB/s  3.0957GB/s  3.0675GB/s
          7                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          7             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          7                          ecc_transactions                                                      ECC Transactions           0           0           0
          7                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                           dram_read_bytes                                Total bytes read from DRAM to L2 cache        1056       20512        4932
          7                          dram_write_bytes                             Total bytes written from L2 cache to DRAM     7125984     7209152     7160338
    Kernel: reduce_argmin(float*, float*, unsigned long*)
          8                             inst_per_warp                                                 Instructions per warp   50.481567   50.494263   50.487244
