==14088== NVPROF is profiling process 14088, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14088== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14088== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14088== Profiling result:
==14088== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force_AL(float const *, unsigned char, float*)
          7                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)      10.90%      11.04%      10.98%
          7                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
          7                    dram_read_transactions                                       Device Memory Read Transactions          33         121          45
          7                   dram_write_transactions                                      Device Memory Write Transactions      237485      251094      248476
          7                      dram_read_throughput                                         Device Memory Read Throughput  314.92KB/s  1.1427MB/s  436.99KB/s
          7                     dram_write_throughput                                        Device Memory Write Throughput  2.1649GB/s  2.3131GB/s  2.2723GB/s
          7                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          7             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          7                          ecc_transactions                                                      ECC Transactions           0           0           0
          7                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          7                           dram_read_bytes                                Total bytes read from DRAM to L2 cache        1056        3872        1458
          7                          dram_write_bytes                             Total bytes written from L2 cache to DRAM     7599520     8035008     7951236
    Kernel: reduce_argmin(float*, float*, unsigned long*)
          8                             inst_per_warp                                                 Instructions per warp   50.475342   50.498291   50.488419
          8                         branch_efficiency                                                     Branch Efficiency      96.72%      96.72%      96.72%
          8                 warp_execution_efficiency                                             Warp Execution Efficiency      87.40%      87.44%      87.41%
          8         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      73.53%      74.54%      73.68%
          8                      inst_replay_overhead                                           Instruction Replay Overhead    0.000542    0.000663    0.000620
          8      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.672727    0.844727    0.700274
          8     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.705882    0.922938    0.742404
          8       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          8      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          8              gld_transactions_per_request                                  Global Load Transactions Per Request   15.636423   15.636423   15.636423
          8              gst_transactions_per_request                                 Global Store Transactions Per Request    0.028655    0.028878    0.028746
          8                 shared_store_transactions                                             Shared Store Transactions       98304      128532      103390
          8                  shared_load_transactions                                              Shared Load Transactions       75776       95150       78878
          8                   local_load_transactions                                               Local Load Transactions           0           0           0
          8                  local_store_transactions                                              Local Store Transactions           0           0           0
          8                          gld_transactions                                              Global Load Transactions      528386      528386      528386
          8                          gst_transactions                                             Global Store Transactions        1027        1035        1030
          8                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          8                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          8                      l2_read_transactions                                                  L2 Read Transactions      162162      162498      162277
          8                     l2_write_transactions                                                 L2 Write Transactions       31094       31303       31171
          8                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          8                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          8                  gld_requested_throughput                                      Requested Global Load Throughput  6.4732GB/s  6.5641GB/s  6.5073GB/s
          8                  gst_requested_throughput                                     Requested Global Store Throughput  6.5139MB/s  6.6643MB/s  6.5811MB/s
          8                            gld_throughput                                                Global Load Throughput  6.5174GB/s  6.6089GB/s  6.5517GB/s
          8                            gst_throughput                                               Global Store Throughput  51.909MB/s  52.820MB/s  52.325MB/s
          8                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          8                        tex_cache_hit_rate                                                Unified Cache Hit Rate      54.75%      54.77%      54.76%
          8                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)       0.78%       0.78%       0.78%
          8                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)      99.52%     100.10%      99.82%
          8                      tex_cache_throughput                                              Unified Cache Throughput  8.0043GB/s  8.1177GB/s  8.0449GB/s
          8                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  6.5174GB/s  6.6089GB/s  6.5517GB/s
          8                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  51.919MB/s  53.008MB/s  52.363MB/s
          8                        l2_read_throughput                                                 L2 Throughput (Reads)  8.0008GB/s  8.1232GB/s  8.0487GB/s
          8                       l2_write_throughput                                                L2 Throughput (Writes)  1.5362GB/s  1.5619GB/s  1.5460GB/s
          8                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                   sysmem_write_throughput                                        System Memory Write Throughput  258.67KB/s  262.31KB/s  260.04KB/s
          8                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                    shared_load_throughput                                         Shared Memory Load Throughput  14.961GB/s  18.999GB/s  15.649GB/s
          8                   shared_store_throughput                                        Shared Memory Store Throughput  19.410GB/s  25.664GB/s  20.512GB/s
          8                            gld_efficiency                                         Global Memory Load Efficiency      99.32%      99.32%      99.32%
          8                            gst_efficiency                                        Global Memory Store Efficiency      12.54%      12.65%      12.58%
          8                    tex_cache_transactions                                            Unified Cache Transactions      162106      162303      162202
          8                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          8                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          8                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          8                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          8                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          8                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          8                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          8                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          8                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          8                             inst_executed                                                 Instructions Executed     1654088     1654792     1654531
          8                               inst_issued                                                   Instructions Issued     1654970     1655769     1655375
          8                        sysmem_utilization                                             System Memory Utilization     Low (1)     Low (1)     Low (1)
          8                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       7.63%       7.97%       7.74%
          8                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      16.64%      16.87%      16.73%
          8                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      47.37%      47.85%      47.65%
          8                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          8                                stall_sync                                 Issue Stall Reasons (Synchronization)      15.79%      15.95%      15.89%
          8                               stall_other                                           Issue Stall Reasons (Other)       7.26%       7.36%       7.30%
          8          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.27%       0.45%       0.42%
          8                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       1.29%       1.30%       1.29%
          8                         shared_efficiency                                              Shared Memory Efficiency      82.34%      94.14%      91.85%
          8                                inst_fp_32                                               FP Instructions(Single)     1048576     1048576     1048576
          8                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          8                              inst_integer                                                  Integer Instructions    19397079    19527277    19415814
          8                          inst_bit_convert                                              Bit-Convert Instructions           0           0           0
          8                              inst_control                                             Control-Flow Instructions     3690863     3692376     3691473
          8                        inst_compute_ld_st                                               Load/Store Instructions     6318454     6709597     6374811
          8                                 inst_misc                                                     Misc Instructions     8424822     8426339     8425432
          8           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          8                               issue_slots                                                           Issue Slots     1441927     1442769     1442368
          8                                 cf_issued                                      Issued Control-Flow Instructions      189730      190066      189863
          8                               cf_executed                                    Executed Control-Flow Instructions      189730      190066      189863
          8                               ldst_issued                                        Issued Load/Store Instructions      562521      562765      562600
          8                             ldst_executed                                      Executed Load/Store Instructions      541026      541237      541104
          8                       atomic_transactions                                                   Atomic Transactions       30051       30291       30116
          8           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.992805    1.005944    0.998756
          8                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  1.4839GB/s  1.5040GB/s  1.4936GB/s
          8                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)       59886       60408       60229
          8                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)      132096      132096      132096
          8                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.14%       0.17%       0.15%
          8                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       2.78%       2.83%       2.81%
          8                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)        1027        1037        1031
          8                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          8                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          8                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          8                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          8                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          8                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          8                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          8               pcie_total_data_transmitted                                           PCIe Total Data Transmitted           0         512          64
          8                  pcie_total_data_received                                              PCIe Total Data Received           0         512          64
          8                inst_executed_global_loads                              Warp level instructions for global loads       33792       33792       33792
          8                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          8                inst_executed_shared_loads                              Warp level instructions for shared loads      112640      112640      112640
          8               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          8               inst_executed_global_stores                             Warp level instructions for global stores       35840       35840       35840
          8                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          8               inst_executed_shared_stores                             Warp level instructions for shared stores      139264      139264      139264
          8              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          8              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas       29995       30298       30154
          8           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          8             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          8          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          8              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          8                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          8                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads     4227072     4227072     4227072
          8                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          8                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
