==7790== NVPROF is profiling process 7790, command: ./exe -mN 20 -MN 20 -mM 10 -MM 10 -ml=0 -mu 0.1 -l -a 1000 -i 10 -r 0.1 -PCRq 0.3,2,1,2 -c -s -f
==7790== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7790== Profiling application: ./exe -mN 20 -MN 20 -mM 10 -MM 10 -ml=0 -mu 0.1 -l -a 1000 -i 10 -r 0.1 -PCRq 0.3,2,1,2 -c -s -f
==7790== Profiling result:
==7790== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GTX 1050 Ti (0)"
    Kernel: brute_force(unsigned char, unsigned char, bool, float*)
         79                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)        1027        1099        1047
         79                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
         79                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
         79                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
         79                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
         79                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
         79                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
         79                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
         79               pcie_total_data_transmitted                                           PCIe Total Data Transmitted           0         512         213
         79                  pcie_total_data_received                                              PCIe Total Data Received           0         512          32
         79                inst_executed_global_loads                              Warp level instructions for global loads       33792       33792       33792
         79                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
         79                inst_executed_shared_loads                              Warp level instructions for shared loads      112640      112640      112640
         79               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
         79               inst_executed_global_stores                             Warp level instructions for global stores       35840       35840       35840
         79                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
         79               inst_executed_shared_stores                             Warp level instructions for shared stores      139264      139264      139264
         79              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
         79              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas       29922       30304       30131
         79           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
         79             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
         79          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
         79              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
         79                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
         79                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads     4227072     4227072     4227072
         79                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
         79                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
         79               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.       32864       35104       33539
         79                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
         79              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics      958432      971296      965010
         79                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
         79                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
         79             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
         79                      global_load_requests              Total number of global load requests from Multiprocessor      132096      132096      132096
         79                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
         79                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
         79                     global_store_requests             Total number of global store requests from Multiprocessor        1027        1097        1047
         79                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
         79                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
         79                    global_atomic_requests            Total number of global atomic requests from Multiprocessor       29928       30438       30136
         79                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
         79                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
         79                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
         79                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
         79                        sysmem_write_bytes                                             System Memory Write Bytes         160         160         160
         79                           l2_tex_hit_rate                                                     L2 Cache Hit Rate       1.54%       1.59%       1.56%
         79                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
         79                     unique_warps_launched                                              Number of warps launched       32768       32768       32768
         79                             sm_efficiency                                               Multiprocessor Activity      98.48%      98.79%      98.67%
         79                        achieved_occupancy                                                    Achieved Occupancy    0.103737    0.106795    0.104589
         79                                       ipc                                                          Executed IPC    0.252001    0.254059    0.253100
         79                                issued_ipc                                                            Issued IPC    0.252185    0.254078    0.253227
         79                    issue_slot_utilization                                                Issue Slot Utilization       5.45%       5.49%       5.47%
         79                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.356107    0.358470    0.357213
         79                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
         79                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
         79                        shared_utilization                                             Shared Memory Utilization     Low (1)     Low (1)     Low (1)
         79                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
         79                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
         79                    special_fu_utilization                                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
