==15735== NVPROF is profiling process 15735, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15735== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==15735== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
199.86ms     378ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.86ms  1.0900us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.86ms     435ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.86ms     360ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.87ms     580ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.87ms     409ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.87ms     367ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.87ms     358ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.87ms     477ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.87ms     385ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.87ms     391ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.87ms     381ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
199.87ms     450ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
200.02ms  317.95us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetDeviceProperties
200.86ms  299.56ms                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
500.42ms  21.365us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
500.44ms  6.6410us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
500.45ms  6.3530us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
500.45ms  5.8540us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
500.58ms  323.74us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpyToSymbol
500.90ms     224ns                    -               -         -         -         -       60B  255.45MB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
500.91ms  12.525us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpyToSymbol
500.92ms  9.1520us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpyToSymbol
