==14415== NVPROF is profiling process 14415, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14415== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==14415== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
197.48ms  1.7050us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.48ms     627ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.48ms     681ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.49ms     901ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.49ms     601ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.49ms     524ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.49ms     588ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.49ms     651ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.49ms     587ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.49ms     636ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.49ms     631ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.50ms     785ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
197.68ms  319.24ms                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
516.92ms  10.848us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
516.93ms  6.4670us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
516.96ms  128.21us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
517.09ms  8.8500us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
517.10ms  5.9860us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
517.11ms  5.9770us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMalloc
517.23ms  37.633us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
517.26ms     352ns                    -               -         -         -         -       60B  162.56MB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
517.27ms  9.0770us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
517.28ms     288ns                    -               -         -         -         -      840B  2.7164GB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
517.28ms  6.4510us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
517.28ms     224ns                    -               -         -         -         -        3B  12.772MB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
517.29ms  275.35us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (brute_force(float const *, char const *, char const *, unsigned char, unsigned char, bool, float*) [135])
517.56ms  3.8251ms           (1024 1 1)      (1024 1 1)        21        0B      900B         -           -           -           -  NVIDIA GeForce          1         7  brute_force(float const *, char const *, char const *, unsigned char, unsigned char, bool, float*) [135]
517.56ms     716ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
517.56ms  3.8245ms                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
521.39ms  18.550us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (reduce_argmin(float*, float*, unsigned long*) [138])
521.41ms  726.53us           (1024 1 1)      (1024 1 1)        12  12.000KB        0B         -           -           -           -  NVIDIA GeForce          1         7  reduce_argmin(float*, float*, unsigned long*) [138]
521.41ms     477ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
521.41ms  729.65us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
522.14ms  28.914us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
522.16ms     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
522.17ms  13.615us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
522.18ms  1.0240us                    -               -         -         -         -        8B  7.4506MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
522.20ms  9.8220us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
522.21ms     287ns                    -               -         -         -         -      840B  2.7258GB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
522.21ms  16.837us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (brute_force_AL(float const *, unsigned char, float*) [144])
522.22ms  2.5326ms           (1024 1 1)      (1024 1 1)        18        0B      840B         -           -           -           -  NVIDIA GeForce          1         7  brute_force_AL(float const *, unsigned char, float*) [144]
522.23ms     389ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
522.23ms  2.5357ms                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
524.76ms  10.117us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaLaunchKernel (reduce_argmin(float*, float*, unsigned long*) [147])
524.77ms  724.38us           (1024 1 1)      (1024 1 1)        12  12.000KB        0B         -           -           -           -  NVIDIA GeForce          1         7  reduce_argmin(float*, float*, unsigned long*) [147]
524.78ms     313ns                    -               -         -         -         -         -           -           -           -                -         -         -  cudaGetLastError
524.78ms  731.19us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaDeviceSynchronize
525.51ms  24.921us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
525.53ms     928ns                    -               -         -         -         -        4B  4.1107MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
525.53ms  11.089us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
525.54ms     832ns                    -               -         -         -         -        8B  9.1699MB/s      Device    Pageable  NVIDIA GeForce          1         7  [CUDA memcpy DtoH]
525.55ms  7.2500us                    -               -         -         -         -         -           -           -           -                -         -         -  cudaMemcpy
525.56ms     320ns                    -               -         -         -         -      840B  2.4447GB/s    Pageable      Device  NVIDIA GeForce          1         7  [CUDA memcpy HtoD]
