==13469== NVPROF is profiling process 13469, command: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==13469== Profiling application: ./exe -mN 20 -MN 20 -mM 3 -MM 3 -a 1000 -i 1 -PCRq 0.3,2,1,2 -c -ml 0 -mu 0.1 -l -r 0.1 -f
==13469== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
216.43ms     478ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.43ms     534ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.43ms     464ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.43ms     443ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.43ms     488ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.44ms     444ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.44ms     425ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.44ms  1.4910us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.44ms     478ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.44ms     433ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.44ms     427ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.44ms  1.0830us                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.44ms     462ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.44ms     784ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.45ms     395ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.45ms     464ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
216.45ms     442ns                    -               -         -         -         -         -           -           -           -                -         -         -  cuDeviceGetAttribute
